,artist_name,track_name,track_id,popularity,like,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
32,Boro Boro,Money Rain,1f1mvHcJwPPponfS45uRp1,67,0,0.437,0.667,219259,0.715,0.0,1,0.828,-5.522,1,0.188,162.106,5,0.511
33,Chadia Rodriguez,Fumo bianco,54ivBWjaiBH5W2fAVYV1k3,65,0,0.226,0.746,251831,0.751,2.48e-06,10,0.121,-5.375,0,0.0414,141.963,4,0.258
34,Capo Plaza,Allenamento #2,1FDtcvnTZvbwMFxn5SRFHN,1,0,0.333,0.866,151422,0.514,0.0,1,0.103,-9.317,0,0.503,80.009,4,0.0534
35,Gemitaiz,Bad Boys (feat. Ketama126),12mhNDtyap89L9H8KLexnS,64,0,0.29,0.755,130715,0.529,1.32e-06,1,0.145,-7.694,0,0.191,150.114,4,0.362
36,Ernia,Il Mondo Chico (feat. Lazza),0hv42i6P5VoF76Zihsrsst,65,0,0.0981,0.768,153134,0.795,3.05e-05,11,0.127,-5.529,1,0.142,131.848,4,0.465
37,Nayt,Exit,6B65Mll1oQmmTrpgK1DKM0,64,0,0.12,0.782,131627,0.487,0.0,11,0.241,-8.362,0,0.0495,129.944,4,0.311
38,Lowchano,Facetime,0bCXO2MDSK6FVRQrwpbPSk,56,0,0.22,0.763,196119,0.474,0.0,11,0.199,-10.929,0,0.0489,134.008,4,0.679
39,Chadia Rodriguez,3G (feat. Jake La Furia),1WMrJuaq7648FBTORoccul,56,0,0.0442,0.802,209900,0.687,4.79e-06,8,0.0349,-4.713,0,0.136,150.006,4,0.619
40,Yellow Claw,Danger Days,6QtHFf8596NM5x7Y4eruD6,57,0,0.0125,0.547,178219,0.855,0.635,5,0.536,-5.937,0,0.0677,155.027,4,0.352
41,GTA,DJ Tool 8 - VIP,5lHpSim9oK1BqhJZrG58k6,46,0,0.00184,0.759,151619,0.912,0.0149,1,0.0227,-3.196,1,0.14,145.026,4,0.581
42,redz,Blessin',03pdIdVHMM3KImjsHN5R58,54,0,0.00637,0.446,248364,0.993,0.787,1,0.0589,-3.171,1,0.455,165.092,4,0.243
43,DJ Snake,Bird Machine,0J67SeAqemmeTxZ5K4X33E,52,0,0.000352,0.719,198000,0.668,0.498,7,0.0851,-6.35,1,0.0479,99.995,4,0.166
44,Party Favor,Reach For Me,7EdUs46oz1nZDhL496bVCV,50,0,0.000578,0.416,226000,0.827,0.715,1,0.111,-5.703,1,0.0432,82.013,4,0.0663
45,Jinco,AVA,6Plaj4PIEiwnBwJAtKehdy,49,0,0.0367,0.664,169600,0.968,0.182,0,0.386,-1.344,1,0.0838,149.969,4,0.233
46,Major Lazer,Jah No Partial - Yellow Claw & Yung Felix Remix,7guegNxwAH0uZsQx7i69Iw,48,0,0.00145,0.562,190380,0.723,0.45,6,0.271,-8.922,0,0.0335,145.031,4,0.484
47,QUIX,Hero (feat. David Shane),3JleotllRQS4U3mtnU1bcm,50,0,0.0049,0.766,232275,0.839,0.0108,1,0.114,-5.123,1,0.041,124.992,4,0.113
48,Lucha,Shenai,0mF0qafXLfwpz00zxHpsKG,44,0,0.00123,0.49,145554,0.939,0.0501,6,0.179,-6.004,0,0.0419,159.983,4,0.533
49,Marshmello,Find Me,6aWiGv6hPG0o3ri7QHNs8t,65,0,0.00012,0.557,180000,0.889,0.000225,0,0.325,-4.045,1,0.0499,142.015,4,0.173
50,Party Favor,Blame - Tisoki Remix,7cVaF9J51UOzVIKzIdLqNn,49,0,0.0105,0.576,192000,0.889,0.00347,2,0.122,-1.326,0,0.112,149.945,4,0.146
51,Azide,Prodigium,1sMk0UopjQ6CCGkELtY3VK,47,0,0.0702,0.455,183900,0.659,0.39,0,0.123,-8.906,1,0.453,151.332,4,0.0511
52,Dav the Ninja,Fright,61vWNSNihrBo2LvAfipWae,44,0,0.0462,0.707,192000,0.564,0.441,9,0.137,-10.141,1,0.067,80.042,4,0.238
53,GTA,All About It (GTA & Cimo Fränkel),7ahXFdM1H3hcm4cbVzQqii,46,0,0.00657,0.505,198120,0.908,0.00185,2,0.516,-5.254,1,0.0483,156.045,4,0.711
54,EBEN,Exhale,06GeXUP9wtq9ERhjx56Blz,54,0,0.00185,0.559,188033,0.809,0.667,2,0.0585,-7.527,1,0.0554,149.977,4,0.0399
55,Omar Souleyman,Ya Bnayya - Bad Royale Remix,54w6HSR0vBATL3XLN6KW7K,43,0,0.0113,0.676,201600,0.927,8.75e-06,2,0.119,-2.386,1,0.074,150.063,4,0.528
56,ChildsPlay,Hooligan,4svOWA3EB6GVInz9bYEmis,42,0,0.000395,0.612,173000,0.898,0.0903,7,0.393,-5.467,1,0.127,150.03,4,0.782
57,Lucha,Keep Calm,2SauOAYxHXtx70OJpQ5ZD5,42,0,0.00175,0.62,144917,0.951,0.0302,1,0.113,-4.001,1,0.0877,127.992,3,0.495
58,Boombox Cartel,ID,3E1tT3qkd1wXEUtFLf6Nqd,55,0,0.389,0.674,204852,0.915,0.803,6,0.103,-3.719,0,0.0424,150.011,4,0.28
59,Eprom,The Cat,3QP4PFk6ExkTlHQgfOHppJ,54,0,0.384,0.635,150600,0.192,0.629,5,0.377,-9.936,0,0.211,130.038,4,0.0376
60,Baauer,Tep Tep,0nXVUxGyjGsyrIQzHRVesF,51,0,0.198,0.506,194625,0.49,0.448,8,0.101,-8.411,1,0.126,147.879,4,0.12
61,Getter,Ham Sandwich,2sM5KAvI1jQPcTJk9ov60k,48,0,0.00084,0.609,225231,0.631,0.88,9,0.143,-6.333,0,0.0309,130.03,4,0.0688
62,CLRFL,Switch,6O1Bitx3ED63QfidpF5yHm,40,0,0.00626,0.52,178573,0.958,0.827,8,0.127,-5.331,1,0.109,160.033,4,0.519
63,Lit Lords,Swings,3KP9WKBC0RiV32LIFv0ofP,1,0,0.0876,0.503,205241,0.852,0.78,0,0.119,-5.249,1,0.129,144.963,4,0.0884
64,bassReaper,Horus,7j5RnZGuY3b15moXb9QH1B,46,0,0.175,0.665,202500,0.986,0.0731,1,0.155,-2.252,0,0.289,160.01,4,0.504
65,Fabian Mazur,Level Up,2N5Tom7kOk3RUfhKrsPLOg,55,0,0.0311,0.646,171000,0.854,0.0032,1,0.0505,-2.773,1,0.459,159.876,4,0.577
66,Türküm,Tender Lies,13nCtj8Sf65eLh3MswcxkX,53,0,0.000554,0.524,212571,0.626,0.000124,11,0.385,-10.646,1,0.0597,139.973,4,0.195
67,Marshmello,Flashbacks,0gsDBm94QELEJAcGS59f1b,67,0,0.0052,0.58,165634,0.901,0.698,0,0.111,-0.958,1,0.0326,142.031,4,0.427
68,Kennedy Jones,Bring That Back,233z7HPqgZKkWxKboFWHJx,43,0,0.0169,0.715,217600,0.932,0.49,1,0.0798,-7.002,0,0.092,150.029,4,0.671
69,Noah Neiman,Show You,56hnDNuxqfaOPTCR3dEZ70,41,0,0.00389,0.716,182182,0.949,0.00455,4,0.373,-3.592,0,0.0762,110.013,4,0.71
70,Keys N Krates,Dum Dee Dum - JiKay Remix,0r3QuDL3WkKa0LTvQyDcNb,7,0,0.0159,0.781,182387,0.854,0.0493,11,0.15,-7.411,0,0.311,100.043,4,0.493
71,Biometrix,No One,4aHJNubSv65qlbKbvRjdQN,50,0,0.00237,0.565,192000,0.787,7.18e-06,10,0.0625,-8.491,0,0.0424,175.209,4,0.334
72,Boombox Cartel,Supernatural (feat. Anjulie),1axYKkAUrZbB1axBahVM2J,54,0,0.00702,0.511,268966,0.951,0.000494,8,0.355,-3.162,0,0.408,144.833,4,0.214
73,Rickyxsan,Back,3T5mo7mlf8vtRrtEPpOFmY,56,0,0.00495,0.633,198400,0.869,0.12,5,0.29,-5.847,0,0.345,74.943,4,0.62
74,EBEN,Pressure,2oGgraHvZukQ8DSYivYF4C,49,0,0.0927,0.609,176804,0.866,0.01,11,0.179,-6.51,0,0.0892,149.937,4,0.0982
75,Flosstradamus,2 MUCH (feat. 24hrs) (feat. 24hrs),6lwxNGjvD1pFlXyNI2h9aH,66,0,0.0657,0.642,182400,0.933,1.04e-05,4,0.087,-2.887,0,0.0871,150.039,4,0.158
76,Onur Ormen,Legacy,26h1Bo0lH3MWIBYhRYnrwC,45,0,0.0018,0.592,173147,0.577,0.813,1,0.0938,-9.78,0,0.0499,140.042,3,0.117
77,Fabian Mazur,Get Low,1jcwCL4SqL4rKppUYr3dPK,47,0,0.0157,0.844,185258,0.752,0.000191,1,0.339,-2.687,0,0.235,97.005,4,0.58
78,Dabow,Major,55dObqJybLWm9O06FBDLCP,41,0,0.0105,0.602,233565,0.947,0.881,9,0.35,-4.535,1,0.143,148.907,4,0.359
79,Onur Ormen,Tension,2EnQi0R57tCOrvQKLsEQX0,45,0,0.0439,0.728,166562,0.506,0.929,6,0.129,-5.396,1,0.0406,150.044,4,0.171
80,RL Grime,Era,6zSRBQTjhldgNO205Erg6K,50,0,0.0049,0.449,249600,0.963,0.09,11,0.227,-2.041,1,0.0734,149.854,4,0.124
81,UZ,UNDERGRND,2AIRjuG5CsnyfmLU0LhjgT,46,0,0.0179,0.858,208463,0.526,0.707,0,0.356,-6.97,0,0.102,140.02,4,0.357
82,Fabian Mazur,The Groove,1Z3mmjXCO6hplvu6l6JVoY,57,0,0.117,0.806,137143,0.787,0.0949,7,0.148,-5.07,1,0.413,153.965,4,0.451
83,"Lukrative, hyperforms, COSMIC, Night Grind, Noax, SYNC, vowl., NOIXES",ANTHEM,1ZxoxIitY7eNa4miQ0YIws,49,0,0.0112,0.703,360862,0.661,0.836,7,0.118,-7.359,0,0.0408,140.023,4,0.11
84,Party Favor,2012,434qhYDxNYCvwimHtlSNvF,59,0,0.271,0.724,160502,0.806,0.817,1,0.16,-3.601,1,0.192,159.015,4,0.785
85,Flosstradamus,Guava,3O2Ebqm1ILOHYTB1Nvw3wP,44,0,0.0268,0.681,177290,0.938,0.0983,1,0.0623,-1.458,1,0.199,155.025,4,0.625
86,Formal One,Cobra,0BDmyy2xonhhvcl2QDg2Xh,39,0,0.00122,0.549,255000,0.949,0.00455,2,0.104,-4.074,1,0.0595,160.022,3,0.169
87,Türküm,Marrakech,42bzfcGVgYcpjo2kebQZXh,40,0,0.0132,0.347,140571,0.663,0.746,5,0.204,-8.318,1,0.0498,139.902,4,0.0532
88,Apashe,Lacrimosa,7uaSDIL9QzabF2Je0FyDZ7,56,0,0.0104,0.604,217333,0.789,0.292,5,0.338,-2.437,0,0.137,135.02,4,0.563
89,Türküm,Creed,4wfQ0EygzWz2v8kbseZKOZ,53,0,0.000183,0.466,166552,0.864,0.0,10,0.0998,-5.327,0,0.0512,145.116,4,0.115
90,Dav the Ninja,Tribe,3A1fJKVctpV28WnnW5xOsX,39,0,0.194,0.732,219429,0.695,0.845,0,0.375,-8.341,1,0.116,139.981,4,0.338
91,EBEN,Tear,0j0W1kwvSblvih5W5nMz6B,44,0,0.00272,0.724,186833,0.973,0.499,7,0.339,-6.539,1,0.149,149.926,4,0.24
92,Keys N Krates,Flute Loop (feat. Ouici),4aAPfEpk7aZitHRZamhptK,3,0,0.00411,0.552,154000,0.639,0.731,4,0.0796,-7.42,0,0.0272,142.031,4,0.168
93,Türküm,Fire,2nTT6AoxJnuVrncBzbyWnk,40,0,0.0317,0.569,185600,0.757,0.00163,10,0.112,-7.364,1,0.124,150.134,4,0.219
94,Dion Timmer,Barrows Ballad,7lqwJUdXahWpA2lTb9FUNM,40,0,0.00242,0.632,251775,0.956,0.469,1,0.634,-1.512,1,0.293,128.063,4,0.189
95,MEMBA,Flash,5Qf9xsjIGRXnltWynliPv2,47,0,0.182,0.572,161758,0.758,0.712,2,0.101,-6.386,0,0.0789,172.062,4,0.7
96,Say My Name,Ooh,00ppj2gGs8oxhGnTdejkzD,47,0,0.0147,0.59,147568,0.965,0.163,4,0.12,-1.787,1,0.0548,148.167,4,0.386
97,Hopex,Warrior,5NPAcNocjto49aEwOauQJq,48,0,0.000104,0.409,171518,0.931,0.695,7,0.185,-5.679,0,0.0454,139.93,4,0.0531
98,BONNIE X CLYDE,Out Of My System,1vN4JlO0tfGJG3Jm6tnuEk,45,0,0.00668,0.563,203184,0.863,0.0862,0,0.291,-6.279,0,0.336,155.05,4,0.46
99,Onderkoffer,Beast,74ipYItMMW9NRBhVBXrM6Q,53,0,0.00499,0.642,212804,0.848,0.0516,5,0.239,-4.89,1,0.115,150.121,4,0.142
100,J Alvarez,La Pregunta,4z3RCjcCBdDFqYlrhDglXf,3,0,0.0585,0.74,269240,0.65,0.0,8,0.0793,-5.849,0,0.136,172.081,4,0.808
101,Cumbia con Klase,Hoy Volvi a Verte,0ndklhNkS3AlWWeNceTxJU,41,0,0.708,0.858,165773,0.756,0.0,7,0.319,-7.107,0,0.0628,135.001,3,0.941
102,Wisin & Yandel,Me Estas Tentando - Remix,2x6X7MBtVqiv1GnLNnSm8e,1,0,0.117,0.819,264307,0.897,4.75e-06,9,0.311,-3.633,0,0.0484,116.018,4,0.805
103,J Alvarez,Junto Al Amanecer,1HPzBInBPVJfSUDNLsTGGn,62,0,0.245,0.614,250547,0.702,4.63e-06,6,0.269,-6.081,0,0.0378,169.966,4,0.773
104,Big Yamo,Tocarte Toa (feat. Natya),0qp29frhNoklK9WvxERqlS,3,0,0.245,0.859,202633,0.895,3.84e-06,0,0.162,-3.899,1,0.0984,100.001,4,0.832
105,Plan B,Si No Le Contesto,6YyPA4dxemw23eGon3CjFX,57,0,0.0945,0.844,220133,0.757,0.0,1,0.16,-4.61,0,0.0523,94.977,4,0.532
106,Daddy Yankee,Lovumba,6oyl7ELfrMqXLhGmIjXY9R,65,0,0.0375,0.734,218413,0.933,0.0,11,0.302,-4.639,0,0.0578,120.987,4,0.935
107,Tony Dize,El Doctorado - Remix,1DRhXot5zqz64D7VHtZgGz,2,0,0.175,0.738,268387,0.662,0.0,10,0.118,-7.842,1,0.0491,120.06,4,0.735
108,Daddy Yankee,Limbo,3pDhN3qB33AOPhQEkUCaWt,74,0,0.0838,0.806,224693,0.875,0.00192,7,0.065,-3.817,1,0.088,125.063,4,0.917
109,Pitbull,Como Yo Le Doy - Remix,2iRZ0Gh5gT0vtlibKSOzLm,1,0,0.162,0.766,262250,0.863,0.0,7,0.316,-3.83,1,0.0801,97.966,4,0.818
110,J Balvin,Ay Vamos,6j8JZ34YSJ3Yf7r2n2IPCX,5,0,0.178,0.717,226840,0.788,0.000131,8,0.105,-3.621,0,0.0972,173.934,4,0.888
111,Wisin & Yandel,Te Siento,2xAXL9sumTKMz47H5FN3qB,0,0,0.0158,0.709,257573,0.796,0.0,1,0.383,-5.738,1,0.0431,109.948,4,0.432
112,Randy,Soy Una Gargola,6g8su55d5ZpbMw01J7YrgE,62,0,0.0136,0.763,188919,0.616,0.000411,4,0.116,-12.101,0,0.0552,94.015,4,0.471
113,"Tito ""El Bambino""",Mi Cama Huele a Tí,1CZ1mdGMPLNyHk7kc24DEj,1,0,0.0859,0.73,226187,0.881,0.0,7,0.209,-4.824,0,0.0395,95.005,4,0.661
114,Comando Tiburon,Extranándote,49MDgzPRu5yyur95dHQNKR,0,0,0.122,0.765,184738,0.491,0.0,0,0.327,-11.638,1,0.0718,96.996,4,0.688
115,Daddy Yankee,Pasarela,1naJAcUboo4EXg8B04Evn1,1,0,0.11,0.836,194561,0.892,0.0,9,0.32,-4.486,1,0.0473,121.053,4,0.735
116,Don Omar,Danza Kuduro,6DXLO8LndZMVOHM0wNbpzg,71,0,0.078,0.699,198787,0.917,0.0,0,0.065,-4.897,1,0.115,130.04,4,0.889
117,Don Omar,Virtual Diva,0vnzk4L0JyMODSqLp3pHwo,60,0,0.185,0.783,242733,0.87,0.0,8,0.393,-4.657,0,0.0485,114.012,4,0.692
118,Don Omar,Dutty Love,5Mz30xAlgBsPHWmOAPm0yJ,6,0,0.236,0.738,285333,0.875,1.39e-05,1,0.13,-3.365,1,0.109,90.036,4,0.91
119,Alexis y Fido,Donde Estés Llegaré,2PyuytS9WHUXcqzR1lJYV0,57,0,0.0661,0.829,228813,0.904,1.64e-06,9,0.343,-3.51,0,0.0535,94.021,4,0.595
120,Zion,More,6FZCj8wIH1sDklyZH3DEUC,61,0,0.209,0.687,240733,0.778,0.0,1,0.117,-6.623,0,0.101,172.047,4,0.865
121,Alexis y Fido,Contéstame el Teléfono,2OEvC7Evt3PkZeOJN8DctX,37,0,0.00269,0.598,194427,0.888,0.000125,4,0.074,-5.028,1,0.0452,179.995,4,0.898
122,Chapa C,Llorarás Por Mi,1HikhESFRRAMpkWGhNq8Yy,57,0,0.185,0.736,216960,0.935,0.0,8,0.129,-5.071,1,0.0637,91.998,4,0.348
123,Don Omar,Good Looking,0A7uLa2SqVK5s5Y2V3kCyW,51,0,0.00879,0.629,258613,0.88,0.0,1,0.814,-6.695,1,0.156,93.013,4,0.757
124,Alexis y Fido,Mala Conducta,3tI4duDhHmmz1Sp7RX0Jbq,65,0,0.231,0.711,257880,0.841,9.85e-05,6,0.191,-4.775,0,0.0917,176.027,4,0.964
125,Cosculluela,Te Busco,2M2WWJE863upPYUrzCRjN6,66,0,0.198,0.677,233559,0.751,0.0,1,0.0875,-5.078,0,0.145,178.067,4,0.758
