,artist_name,track_name,track_id,popularity,like,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
8201,Shakira,Amarillo,5Qn56ssVeZJfNwDCme7Eo0,61,0,0.464,0.833,219640,0.78,1.09e-06,6,0.146,-3.153,0,0.0351,130.926,4,0.93
8202,Shakira,Trap (feat. Maluma),7GncL3nyKUjsEm8Z5gvTpW,63,0,0.556,0.774,199813,0.504,0.0,7,0.128,-6.843,0,0.0552,132.009,4,0.323
8203,Black M,Comme moi (feat. Shakira),2RHpEALdmp9dnPuEm7SLKB,56,0,0.29,0.662,188453,0.902,0.0,9,0.103,-4.011,0,0.251,192.042,4,0.639
8204,Shakira,Coconut Tree,4uGz0wWAkH4FGPpBR6eaHt,55,0,0.212,0.81,230173,0.751,0.000238,11,0.202,-5.066,1,0.0365,119.977,4,0.782
8205,Shakira,What We Said (feat. MAGIC!) - Comme moi English Version,0kM7Geaz7x7r17CPONjpOU,55,0,0.219,0.664,179480,0.894,0.0,0,0.134,-3.729,1,0.271,191.966,4,0.605
8206,Shakira,Toneladas,5VD3oQilL00HfIEW6ICSQq,57,0,0.943,0.771,191587,0.225,0.000141,7,0.271,-10.274,1,0.047,129.907,4,0.267
8207,Shakira,Can't Remember to Forget You,41dwfdVGLtjXxIKE65yUWP,23,0,0.122,0.694,206867,0.81,0.0,11,0.141,-3.556,0,0.0661,137.968,4,0.824
8208,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],2Cd9iWfcOpGDHLz6tVA3G4,75,0,0.00627,0.766,202627,0.873,0.0,11,0.0764,-6.381,0,0.143,126.988,4,0.743
8209,Shakira,"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,73,0,0.236,0.793,196160,0.832,1.12e-05,1,0.202,-4.862,0,0.0406,107.661,4,0.872
8210,Shakira,Dare (La La La),0YoUczWJPqphLvxnTXG00N,57,0,0.0623,0.792,186507,0.73,2.66e-05,11,0.089,-5.376,1,0.0698,128.029,4,0.616
8211,Shakira,Loca,42k1KeBehAd83lrGt1okiC,65,0,0.342,0.8,183693,0.692,1.92e-06,9,0.0554,-5.57,0,0.0614,112.002,4,0.917
8212,Shakira,Inevitable,78dbqYDvx6FOefROApu9w0,67,0,0.269,0.595,192867,0.461,0.000149,6,0.123,-7.786,1,0.0641,91.976,4,0.338
8213,Shakira,Sale el Sol,1DJxR9NMQ14fv1WK0pHodt,58,0,0.155,0.698,200133,0.686,0.0,0,0.103,-5.925,1,0.0293,119.006,4,0.257
8214,Shakira,"Ciega, Sordomuda",7jxHeJLVpnP7S08JFF4GBi,67,0,0.0438,0.746,267827,0.876,2.51e-06,1,0.112,-6.042,1,0.0345,119.97,4,0.928
8215,Shakira,Dia Especial (feat. Gustavo Cerati),1XyRT1VeLaJs5rEJA3rMO9,54,0,0.0779,0.646,262667,0.612,0.00262,1,0.114,-8.283,1,0.0299,124.992,4,0.345
